total_ply,num_rows
13,26
155,15190
199,3980
152,16416
14,126
22,2794
164,12792
190,3800
197,1970
163,10269
25,3825
85,95030
137,27948
71,65462
108,61020
76,88692
130,37440
82,211314
49,30968
106,61904
40,24280
139,25298
47,29892
101,55449
78,92118
162,13932
24,4848
196,3136
191,5348
23,2461
165,11055
198,3366
153,17289
15,135
12,84
154,16170
46,33258
100,67600
79,77499
107,53179
41,24026
138,26358
83,139357
77,72457
131,36418
48,38448
136,29512
304,304
70,79380
84,125748
109,56026
249,249
276,552
271,271
285,285
278,834
247,494
240,480
214,2354
213,1917
9,27
225,1575
7,21
222,2220
241,964
246,738
284,284
270,810
248,1240
283,283
223,1115
6,48
1,23
224,1568
212,2544
8,8
215,3440
208,1456
237,948
230,1610
239,956
206,3502
201,4623
255,510
299,299
264,264
263,526
200,3200
238,1904
207,1656
231,1617
209,3135
236,708
262,524
265,265
291,291
253,759
254,508
319,319
99,58707
52,43160
326,326
114,77862
113,62828
55,40095
328,328
97,61886
63,58590
125,44250
122,60268
64,79808
90,81450
176,7216
30,11070
182,4732
149,19519
185,5550
37,15355
171,8379
147,23520
178,9256
140,29400
39,16965
91,73710
123,52890
65,57265
329,329
62,82832
316,316
124,55800
96,68640
112,59136
54,49518
98,70560
53,36411
115,61640
141,23124
38,21584
146,32120
179,8234
36,17028
170,7820
184,5336
183,5490
177,7080
31,10385
148,22644
75,69750
301,301
133,34181
81,149850
86,97696
134,35644
72,81792
339,339
44,29612
102,67116
105,57855
43,24295
308,308
88,87648
28,8736
151,18271
17,323
169,9633
10,70
156,18408
19,684
194,4656
160,16000
26,6578
158,15168
21,1407
167,9352
193,4825
104,66144
42,28854
89,69509
309,309
45,25920
103,57062
135,28215
73,69423
87,77082
80,104240
74,84952
132,42108
300,300
159,12720
192,6336
20,1620
166,10790
18,414
161,13041
27,6345
195,3120
168,10920
11,11
157,14758
29,7801
150,22500
16,448
210,2730
217,1302
228,1824
221,1547
226,2486
3,3
219,1752
272,272
286,286
275,275
288,576
243,1458
244,732
2,688
227,908
218,1962
220,1760
5,25
216,2592
229,1603
211,2321
245,490
289,289
242,726
274,274
273,273
251,251
256,512
260,260
293,293
267,267
258,258
233,466
234,936
202,3434
205,2665
266,266
292,292
259,518
257,257
268,804
250,500
204,3060
203,2842
235,470
232,928
186,5022
34,15606
172,7568
175,7175
33,11187
181,8326
143,20735
188,6204
144,23616
349,349
69,60444
110,64130
56,54208
128,42752
51,35139
117,51363
325,650
58,56608
121,62194
67,61238
93,64077
119,48909
94,71158
60,71280
126,40320
145,25085
142,24282
189,2835
180,6120
174,9744
32,13696
35,13720
173,9861
187,4862
118,50622
61,76433
127,37719
95,60800
59,48970
92,79304
120,63720
66,76626
129,33024
50,43600
116,62176
68,79424
111,54612
323,646
57,44517
